iter	Passed	Remaining
427	2325	20242428	2330	20142429	2334	20043430	2339	20043431	2343	19943432	2348	19943433	2353	19843434	2357	19743435	2361	19743436	2366	19643437	2371	19543438	2375	19543439	2380	19444440	2384	19444441	2389	19344442	2394	19244443	2398	19244444	2403	19144445	2408	19144446	2413	19044447	2418	19044448	2423	18944449	2428	18845450	2433	18845451	2437	187452	2443	1871
453	2448	1866
454	2454	1861
455	2459	1855
456	2465	1850
457	2470	1844
45458	2473	183459	2480	1833
460	2484	1827
46461	2488	18246462	2493	18146463	2497	18046464	2502	18046465	2506	17946466	2512	17946467	2515	17846468	2519	17746469	2524	17747470	2529	17647471	2533	176472	2538	1755
473	2543	1749
474	2547	1742
47475	2551	17347476	2556	17347477	2560	17247478	2564	17147479	2568	17148480	2572	17048481	2576	17048482	2580	16948483	2585	16848484	2590	16848485	2594	16748486	2598	16648487	2602	16648488	2607	1658
489	2610	16549490	2614	16449491	2619	16349492	2623	16349493	2626	16249494	2630	16249495	2635	16149496	2639	16049497	2643	16049498	2647	159499	2652	1591
500	2656	1585
501	2661	1579
502	2665	1573
503	2669	1567
504	2672	1561
505	2677	1555
506	2680	1549
507	2684	1543
508	2688	1537
509	2693	1531
510	2698	1525
511	2702	1520
512	2705	1513
513	2709	1507
514	2713	1501
515	2716	1495
516	2720	1489
517	2723	1482
518	2727	1476
519	2731	1470
520	2734	1464
521	2737	1457
522	2740	1451
523	2744	1445
524	2747	1439
525	2750	1432
526	2754	1427
527	2758	1421
528	2762	1415
529	2766	1409
530	2770	1403
531	2774	1397
53532	2777	139533	2782	1386
534	2786	1380
535	2790	1374
536	2794	1368
537	2797	1362
538	2801	1356
539	2805	1350
540	2808	1344
541	2812	1338
542	2816	1333
543	2820	1327
544	2824	1321
545	2827	1315
546	2831	1309
547	2834	1303
548	2837	1297
549	2840	1291
550	2844	1285
551	2848	1279
552	2852	1274
553	2855	1268
554	2858	1262
555	2862	1256
556	2865	1250
557	2869	1244
558	2872	1238
559	2876	1232
560	2879	1226
561	2882	1220
56562	2884	12156563	2887	12056564	2891	12056565	2894	11956566	2898	11956567	2901	11856568	2905	11756569	2909	11757570	2912	11657571	2915	11657572	2919	11557573	2922	11557574	2925	11457575	2928	11357576	2932	11357577	2935	11257578	2939	11257579	2942	11158580	2946	11158581	2949	11058582	2953	10958583	2957	10958584	2961	10858585	2964	10858586	2968	10758587	2971	10758588	2975	10658589	2978	10659590	2982	10559591	2985	10459592	2988	10459593	2992	10359594	2995	10359595	2999	10259596	3003	10259597	3007	10159598	3010	10159599	3013	10060600	3017	999
601	3020	993
602	3023	987
603	3027	982
604	3031	977
605	3034	971
606	3038	966
607	3042	960
608	3045	955
609	3049	949
610	3052	944
611	3055	938
612	3060	933
613	3063	928
614	3067	922
615	3070	917
616	3073	911
617	3078	906
618	3081	901
619	3085	895
620	3089	890
621	3092	885
622	3096	879
623	3099	874
624	3102	868
625	3106	863
626	3109	858
627	3112	852
628	3115	8462629	3118	8463630	3122	836
631	3125	830
632	3129	825
633	3133	820
634	3137	815
635	3140	809
636	3143	804
637	3147	799
638	3150	793
639	3154	788
640	3157	783
641	3161	778
642	3164	772
643	3168	767
644	3172	762
645	3176	757
646	3180	752
647	3183	746
648	3186	741
649	3190	736
650	3193	730
651	3197	725
652	3201	720
653	3204	715
654	3208	710
655	3212	705
656	3215	699
657	3219	694
658	3222	689
659	3226	684
660	3229	679
661	3233	673
662	3236	668
663	3240	663
664	3244	658
665	3247	653
666	3251	648
667	3254	643
668	3258	638
669	3261	632
670	3265	627
671	3268	622
672	3272	617
673	3276	612
674	3279	607
675	3283	602
676	3286	597
677	3289	591
678	3293	586
679	3296	581
680	3300	576
681	3303	571
682	3307	566
683	3310	561
684	3314	556
685	3318	551
686	3321	546
687	3325	541
688	3329	536
689	3332	531
690	3337	526
691	3342	521
692	3345	516
693	3350	511
694	3354	506
695	3357	501
696	3361	496
697	3365	491
698	3369	486
699	3373	481
700	3377	476
701	3381	472
702	3385	467
703	3388	462
704	3391	457
705	3396	452
706	3400	447
707	3404	442
708	3408	437
709	3412	432
710	3416	427
711	3420	422
712	3424	417
713	3429	413
714	3432	408
715	3436	403
716	3440	398
717	3444	393
718	3448	388
719	3452	383
720	3457	378
721	3461	373
722	3464	368
723	3468	364
724	3472	359
725	3475	354
726	3478	349
727	3482	344
728	3485	339
729	3489	334
730	3493	329
731	3496	324
732	3499	319
733	3503	314
734	3506	310
735	3509	305
736	3512	300
737	3516	295
738	3520	290
739	3523	285
740	3526	280
741	3530	275
742	3533	271
743	3536	266
744	3540	261
745	3544	256
746	3547	251
747	3550	246
748	3553	241
749	3557	237
750	3560	232
751	3564	227
752	3567	222
753	3571	217
754	3575	213
755	3578	208
756	3581	203
757	3585	198
758	3589	193
759	3593	189
760	3596	184
761	3600	179
762	3604	174
763	3607	170
764	3610	165
765	3614	160
766	3617	155
767	3620	150
768	3624	146
769	3627	141
770	3630	136
771	3633	131
772	3636	127
773	3638	122
774	3641	117
775	3644	112
776	3647	107
777	3650	103
778	3653	98
779	3655	93
780	3658	89
781	3661	84
782	3665	79
783	3667	74
784	3670	70
785	3673	65
786	3676	60
787	3679	56
788	3682	578789	3685	479790	3687	479791	3690	379792	3693	379793	3696	279794	3699	279795	3702	179796	3705	179797	3708	79798	3711	79799	3714	0
