iter	Logloss
0	0.6906943032
1	0.6881943968
2	0.685928101
3	0.6840282111
4	0.6820637761
5	0.6802855665
6	0.6783335628
7	0.6766791298
8	0.6754597917
9	0.6743116287
10	0.6735347955
11	0.6724353827
12	0.6703909487
13	0.6694625513
14	0.6685145564
15	0.6673283684
16	0.6663320133
17	0.6657207842
18	0.6648974921
19	0.664344812
20	0.6635040186
21	0.6627211891
22	0.6622405616
23	0.6617662716
24	0.6613667156
25	0.6606372675
26	0.6599491595
27	0.6594249006
28	0.6586814612
29	0.6582151663
30	0.6579181318
31	0.6568377315
32	0.6563770428
33	0.6557227674
34	0.6550962308
35	0.6547463512336	0.6544620404
37	0.6539902367338	0.6535826857339	0.6532705874440	0.6524338402441	0.6520917119442	0.6518927138443	0.6516409682444	0.651446309
45	0.6511171481
46	0.6506851733
47	0.6500238291
48	0.6495256028
49	0.6492956972550	0.6489962252551	0.6483050459552	0.6478996886553	0.6474273974554	0.6472642795555	0.6464330895656	0.6460003835757	0.6453552245858	0.6450943139
59	0.6445597688
60	0.6442851594
61	0.6438492356262	0.6432966046363	0.6430384726464	0.6427504076565	0.6422959596666	0.6418845086767	0.640923302668	0.640348928
69	0.6402436765770	0.6401954139771	0.6398779531772	0.6391669813773	0.6388586855774	0.6387226726775	0.6383390579776	0.6381058861777	0.6379036707878	0.6376439297979	0.6374729638080	0.6372010837
81	0.6369268643
82	0.6364067005
83	0.6362527476
84	0.636135211
85	0.63575067
86	0.6355286132
87	0.6354008879
88	0.6352143211
89	0.6343250701
90	0.6340190656
91	0.6337158398
92	0.6332553461
93	0.6328005075
94	0.632316565
95	0.6320042717
96	0.6319805791
97	0.631720156
98	0.6314092277
99	0.6304558215
100	0.6303504237
101	0.6302831485
102	0.6298925625
103	0.6296373069
104	0.6293201386
105	0.6287435221
106	0.6285177115
107	0.6284641839
108	0.62828887841109	0.62769471111110	0.62709820511111	0.62661835711112	0.6263759235
113	0.6262486857
114	0.6261974981
115	0.6258887635
116	0.6256661705
117	0.6252436531
118	0.624621114
119	0.6241054352
120	0.62356996312121	0.6232729293
122	0.6228739096
123	0.6226189464
124	0.6224840061
125	0.6222155879
126	0.6219138246
127	0.6216402389
128	0.6207772154
129	0.6202693854
130	0.6201013925
131	0.6196933052
132	0.6192690328
133	0.6188733768
134	0.6186022286
135	0.6180130834
136	0.6173925918
137	0.6171201761
138	0.6169280518
139	0.6164493256
140	0.6160797997
141	0.615447803
142	0.6149743418
143	0.6141262847
144	0.6137914201
145	0.6133888903
146	0.6131724885
147	0.6127551387
148	0.6125031005
149	0.6120721494
150	0.6114983604
151	0.6114332303
152	0.6108943464
153	0.6107197234
154	0.6102204247
155	0.6100072891
156	0.6093895763
157	0.6089088513
158	0.6086795307
159	0.6084571327
160	0.6073300298
161	0.6066548405
162	0.6054892738
163	0.6052444994
164	0.6045912965
165	0.6043809885
166	0.60421782181167	0.60395330361168	0.603607519
169	0.6031635028
170	0.6018032769
171	0.6011585565
172	0.6003406756
173	0.6001467964
174	0.5995812949
175	0.5990814111
176	0.5982927804
177	0.5980418147
178	0.5976540075
179	0.5972700515
180	0.5971480787
181	0.5960699209
182	0.5959657907
183	0.5948870967
184	0.5945129882
185	0.5939161404
186	0.5931180521
187	0.5921608434
188	0.5910930694
189	0.590419099
190	0.5898821651
191	0.589462719
192	0.5887169396
193	0.5883418562
194	0.5881187268
195	0.5872735459
196	0.5868358673
197	0.5863702061
198	0.5857873496
199	0.5856228667
200	0.5847394169
201	0.5843322559
202	0.5836486816
203	0.583409806
204	0.5828028182
205	0.582624344
206	0.582124704
207	0.5814900261
208	0.5810284112
209	0.5805665038
210	0.5795315386
211	0.5787942417
212	0.578314248
213	0.5778628706
214	0.5777570341
215	0.5769937046
216	0.5762902403
217	0.5753704229
218	0.5744405631
219	0.5735344932
220	0.5731837361
221	0.5723884753
222	0.5709890542
223	0.5702785699
224	0.5697197472
225	0.5695225042
226	0.5689080089
227	0.5681384394
228	0.5680672643
229	0.5671873245
230	0.5669683389
231	0.5663578899
232	0.5660911292
233	0.5653194635
234	0.5643502135
235	0.5632731282
236	0.5627841157
237	0.5616501391
238	0.5614630848
239	0.5612930932
